TR_SNP	TR_DEL	TR_INS	NON_TR_SNP	NON_TR_DEL	NON_TR_INS
HG02304	118313	108226	60760	3353217	154694	138788
HG02307	136599	114621	63059	4060080	186829	164807
HG02308	137777	115566	63256	4042326	186328	163877
HG02309	136056	115106	63288	4050107	186866	164829
HG02312	115397	107180	60422	3356751	154708	138988
HG02314	136335	115342	63301	4050717	186624	164456
HG02315	136714	115181	63562	4045589	186700	164396
HG02317	137983	114560	62826	4058937	187653	165163
HG02318	134048	112465	62752	4051167	186885	164575
HG02322	134932	114720	63177	4025256	185772	163896
HG02323	136122	114328	62966	4052005	186628	164649
HG02325	97500	96009	54573	3239803	140737	133278
HG02330	135989	115522	63094	4043525	186296	164087
HG02332	141173	117015	63961	4067810	188244	165459
HG02334	134038	114879	63236	3976856	182736	161835
HG02337	136268	115115	63190	4042358	186325	164303
HG02339	135819	114109	62020	4026835	185431	163558
HG02343	98006	97052	55488	3254687	141830	133882
HG02345	116626	108964	61091	3447660	158715	141992
HG02348	114190	105479	59451	3269774	150769	135983
HG02351	115557	106146	60263	3333930	152936	137863
HG02353	117619	106640	60387	3346943	153459	138687
HG02355	115872	105815	60119	3319692	152152	137729
HG02356	118010	106968	60402	3325417	152848	138108
HG02358	110772	106005	59569	3330123	153112	138376
HG02360	117752	106919	60587	3330085	153195	138333
HG02364	116666	106332	59968	3328530	152551	137797
HG02367	116470	106109	60297	3328232	152925	137909
HG02371	115169	105676	59880	3320792	152945	137396
HG02373	118128	106850	60228	3334494	153468	138023
HG02374	117324	106340	60358	3333336	152904	137913
HG02375	116738	106568	60143	3321293	153025	137521
HG02379	116581	106332	60116	3326217	152880	137616
HG02380	114312	104751	59339	3262545	150129	134954
HG02382	116737	106475	60159	3336584	153594	138182
HG02383	116842	106793	59999	3327216	153085	137939
HG02384	116401	106601	60052	3324819	152872	137893
HG02385	114417	105726	59906	3312867	152237	136863
HG02386	116619	106329	60017	3334823	153107	138304
HG02389	115236	105716	60004	3316878	152002	137504
HG02390	116234	106519	60006	3319758	151998	137783
HG02391	116331	105757	59806	3318082	152215	137358
HG02392	115983	105730	59706	3298477	151146	136921
HG02394	116083	106461	60034	3326751	152724	137831
HG02395	116232	106723	60338	3343052	153508	138679
HG02396	115258	106099	59856	3316072	152934	137559
HG02397	113310	105238	59551	3305318	151329	137116
HG02398	117668	107024	60260	3329179	152767	137985
HG02399	115800	106587	60048	3331147	153469	138071
HG02401	116239	106154	60381	3334400	153373	138091
HG02402	115646	106363	60027	3326174	152953	137956
HG02405	110893	106228	59580	3308465	152017	136633
HG02406	116594	106491	60027	3320314	152209	137461
HG02407	117104	106600	60625	3344381	153093	138581
HG02408	119221	107472	59824	3341072	153542	138379
HG02409	116054	106158	60012	3330080	152996	137790
HG02410	120947	107790	59799	3331181	153430	138182
HG02419	141301	117242	64197	4060675	188511	165224
HG02420	96179	96941	55352	3194558	139166	131489
HG02425	119873	108602	60289	3400084	156353	140225
HG02427	139239	115846	63454	4044672	186888	164719
HG02429	139607	115999	63351	4063102	187612	165171
HG02433	98416	97050	55288	3270227	142505	134561
HG02436	97770	96321	54650	3257855	141744	133774
HG02439	137144	117312	63034	4068202	187964	165270
HG02442	97815	96450	54682	3257390	142028	134082
HG02445	97251	96078	54843	3230581	140528	132539
HG02449	139328	115043	63323	4063778	187295	165025
HG02450	141348	115676	63294	4059198	187572	165006
HG02455	134201	115622	62452	4004689	185087	163350
HG02461	141426	117470	63427	4049184	187278	164765
HG02462	142751	118669	64133	4072319	188811	166001
HG02464	142953	118064	63575	4086967	189167	165974
HG02465	141918	118072	63732	4084749	189125	165773
