TR_SNP	TR_DEL	TR_INS	NON_TR_SNP	NON_TR_DEL	NON_TR_INS
HG04186	114584	109223	60148	3401715	156619	140628
HG04188	117231	107869	61092	3415607	156778	141533
HG04189	116899	107993	61392	3427466	157470	141513
HG04194	119086	108417	61093	3423682	157184	141252
HG04195	116529	108151	61256	3423309	157264	141699
HG04198	118398	108422	60882	3417860	157221	141239
HG04200	118235	107862	60804	3398960	155952	140580
HG04202	117441	107572	60760	3405424	156293	140672
HG04206	118349	108819	61042	3401239	156738	140767
HG04209	116205	106513	60205	3354524	154132	138595
HG04210	118924	108560	60903	3415455	157057	140907
HG04211	111446	103989	58517	3251668	149737	135405
HG04212	116029	106752	60287	3374829	155250	139074
HG04214	117153	108310	60668	3409544	156502	140851
HG04216	118594	109547	61468	3418187	157180	141391
HG04219	116002	107950	61242	3428631	157303	141336
HG04222	119187	109047	61165	3427374	157773	141509
HG04225	118767	109661	61212	3418919	157975	141512
HG04227	118918	108593	61210	3421482	157749	140805
HG04229	118846	109590	61100	3417218	157209	141343
HG04235	117950	108316	60848	3415915	157253	140663
HG04238	117757	108522	61087	3417927	157068	141323
HG04239	118644	109005	61138	3419861	157376	141396
HG04301	109021	104761	58989	3302534	151431	136813
HG04302	107390	103474	58219	3253853	148188	134228
HG04303	109415	105033	59263	3314608	152024	137531
NA06984	116440	105993	59204	3314735	152415	137504
NA06985	120263	111708	59913	3343857	154177	138535
NA06986	119900	108949	60632	3326692	153722	137713
NA06989	115197	106593	59196	3313213	152826	137386
NA06994	117192	110747	59811	3324022	153773	137774
NA07000	119558	110498	59807	3329329	153686	137691
NA07037	121305	107872	59768	3340315	154187	138585
NA07048	115324	107326	59472	3328899	153460	137953
NA07051	112314	106641	58780	3289399	153054	136035
NA07056	115156	109181	59540	3324499	153068	138328
NA07347	121272	109808	60793	3352692	155756	139041
NA07357	116005	109795	59753	3319660	153353	137638
NA10847	122841	108430	59456	3321711	153477	137504
NA10851	116101	109159	59485	3319095	152906	137434
NA11829	119197	108949	60253	3331011	154165	137924
NA11830	110726	105012	59088	3307877	153766	136760
NA11831	114218	108946	59568	3304641	153365	136983
NA11832	118232	111107	59818	3334596	156246	138350
NA11840	119380	109040	59891	3322906	153514	137622
NA11843	117031	106421	59828	3333638	153378	137919
NA11881	117066	109306	59236	3324147	153291	137741
NA11892	119347	110601	59852	3342322	154565	138564
NA11893	117417	110357	60048	3326148	153682	137749
NA11894	116798	109876	59891	3333473	154035	138348
NA11918	117356	107679	60349	3325038	153467	137781
NA11919	120874	109997	60842	3349234	155050	139037
NA11920	119445	108884	60388	3344436	154649	138583
NA11930	120268	107407	60111	3349339	153987	138537
NA11931	116377	109710	59893	3317160	152394	137657
NA11932	118523	107065	60185	3338986	153831	138015
NA11933	118691	106940	60095	3332602	153192	138393
NA11992	119092	110753	60095	3349235	155453	138920
NA11994	122032	110003	59878	3337938	154708	138275
NA11995	115155	108279	59509	3304158	151944	136935
NA12003	116681	109195	59665	3312112	153709	137368
NA12004	119340	111892	59761	3346028	155188	138090
NA12005	118550	109996	59970	3313572	153564	137188
NA12006	119681	112532	60080	3333412	154877	138382
NA12043	114867	109055	59596	3306962	152224	136906
NA12044	120628	113439	60302	3327199	154785	138191
NA12045	119464	109669	60557	3341368	154576	138699
NA12046	119167	106490	59867	3335092	153428	137660
NA12058	117872	106747	59454	3326326	153036	137210
NA12144	118284	110518	59215	3325197	153944	137386
NA12154	118020	111270	59930	3343541	155405	138256
NA12155	119828	111405	60051	3327344	154159	138148
NA12156	114751	109271	59699	3332504	154105	138113
NA12234	117671	105564	59601	3316288	152410	137248
NA12249	111763	105005	59268	3289998	150691	136352
NA12272	115296	105995	59152	3307985	152043	137148
NA12273	119913	109231	59613	3363186	154715	138707
NA12275	115714	108678	59323	3325603	153685	137617
NA12282	119503	107055	59951	3338396	154271	138307
NA12283	119475	107106	59790	3337184	153810	138333
NA12286	120195	107359	60209	3331209	153615	137824
NA12287	115880	110004	59762	3325142	153507	138027
NA12340	115000	106464	59268	3306932	152133	136847
NA12341	117037	106493	60333	3331925	152816	138268
NA12342	121918	109136	60948	3310383	153388	137641
NA12347	118040	110881	59448	3323501	153168	137991
NA12348	119046	111135	60162	3335775	154379	138461
NA12383	119686	110114	60229	3348198	153723	138884
NA12399	115313	107746	59202	3315214	155118	137279
NA12400	114855	108581	59450	3319645	157878	137579
NA12413	116062	109701	59815	3302781	152408	137091
NA12414	120591	111180	59937	3324420	153726	137770
NA12489	118536	111502	59495	3326081	153616	137489
NA12546	119137	110910	60326	3336344	154025	138307
NA12716	117900	106659	59134	3310318	152057	137606
NA12717	119837	107269	59252	3327661	152924	137796
NA12718	116469	107017	59464	3309156	152330	137037
NA12748	119580	107441	60086	3338039	153837	138316
NA12749	118413	110703	59634	3323469	154009	137565
NA12750	120670	107828	59533	3336756	154164	138531
NA12751	120124	107359	59358	3325741	153087	137388
NA12760	119059	110411	59982	3330463	154164	138459
NA12761	118226	106382	58894	3313374	152554	137421
NA12762	117647	108072	59751	3335621	154134	138282
NA12763	119971	107844	59528	3328932	152745	137921
NA12775	118842	111031	59959	3318679	152985	137484
