TR_SNP	TR_DEL	TR_INS	NON_TR_SNP	NON_TR_DEL	NON_TR_INS
NA20809	118853	110805	59819	3344806	154563	138247
NA20810	119035	110665	59941	3349074	154410	138818
NA20811	116819	110191	59833	3349293	153945	138747
NA20812	116526	109769	59979	3339234	153545	138151
NA20813	116615	110026	60064	3354442	154129	138916
NA20814	116067	109890	59853	3345108	154017	138367
NA20815	117553	110068	59939	3357255	154723	139144
NA20816	106194	102297	58686	3272563	149361	136430
NA20818	117526	109191	59910	3343585	154349	138546
NA20819	118944	110030	59995	3334361	153718	138524
NA20821	120442	107666	59542	3348550	154211	138486
NA20822	121316	108089	59805	3369211	154936	139345
NA20826	116796	109724	59924	3342409	154292	138391
NA20827	111357	105951	59311	3334404	152647	137512
NA20828	116682	109736	59732	3341265	153600	138263
NA20829	110731	105464	58932	3315929	152032	136845
NA20831	110504	104881	59242	3323946	152253	137560
NA20832	111916	105676	59574	3334531	153075	137756
NA20845	119642	110817	60629	3436651	157654	141894
NA20846	115442	109260	59682	3369239	156681	140029
NA20847	114944	108427	59991	3386898	156627	140241
NA20849	118470	111105	60117	3411548	158625	141356
NA20850	114206	108611	59634	3353440	154538	138947
NA20851	114493	108781	60145	3400212	156770	140489
NA20852	114269	108720	59740	3374035	155796	139555
NA20853	118199	110455	60420	3418423	158017	141610
NA20854	116293	109331	59899	3395791	156439	140254
NA20856	114049	107935	60015	3389345	155430	139765
NA20858	114756	108173	59853	3385764	156096	140243
NA20859	118029	110308	60163	3394759	156336	140405
NA20861	116409	109108	59970	3387045	155989	140181
NA20862	115731	108890	59961	3390851	156144	139804
NA20863	119239	108407	60806	3410126	157025	140855
NA20864	118907	108554	60849	3402358	157176	140894
NA20866	116690	109067	60069	3392508	156331	139949
NA20867	118177	107484	60770	3395675	155379	140145
NA20868	118608	107949	60726	3413054	156793	140974
NA20869	115977	109462	60198	3393702	156281	140615
NA20870	115225	108684	60002	3376224	155440	139481
NA20872	115438	109146	59792	3374648	155428	139782
NA20873	92778	95463	55284	3025056	134020	125816
NA20874	114268	108229	60097	3396489	155571	140360
NA20875	114168	107623	59462	3367768	154511	139233
NA20876	116634	109495	60046	3406894	156740	140693
NA20877	115098	108493	60186	3388260	156350	140847
NA20878	114926	108295	60081	3376319	154820	139673
NA20881	116236	108896	60037	3382743	155706	139530
NA20882	117004	108912	59829	3393854	156169	140354
NA20883	100857	99645	57996	3215930	145032	133819
NA20884	115326	108030	59926	3390712	155943	140301
NA20885	117611	109647	61318	3407705	156416	140580
NA20886	116936	108695	60447	3363877	154672	139270
NA20887	116032	109017	60788	3403527	156937	141069
NA20888	116095	108483	60378	3376591	154997	139861
NA20889	116289	109281	60894	3398984	155841	140522
NA20890	115918	109128	60529	3378466	155308	140202
NA20891	118036	109168	60914	3393817	155807	140238
NA20892	116918	108722	60610	3384477	156052	139844
NA20894	117567	109056	60824	3386576	156281	139898
NA20895	116937	109350	60619	3384323	156013	140009
NA20896	118087	109541	61087	3412268	156640	141102
NA20897	115764	108305	60743	3391200	156232	139700
NA20899	116364	108510	60404	3391847	156327	140192
NA20900	119472	107733	59965	3392318	156069	140013
NA20901	117306	109493	61120	3418541	157127	141367
NA20902	117184	108883	60701	3401181	156258	140446
NA20903	117012	108850	60767	3392048	155802	140693
NA20904	118236	108985	60932	3398424	156347	140618
NA20905	115211	108112	60689	3409361	156755	140733
NA20906	116346	109050	61000	3410910	156710	140897
NA20908	117513	109045	60886	3410175	156472	140887
NA20910	116380	109312	60693	3391912	155831	139981
NA20911	117728	109285	60779	3396125	156644	140639
NA21086	115679	108603	60821	3399477	156295	140355
NA21087	115214	108010	60443	3393240	155903	140354
NA21088	116420	108826	60870	3396380	156432	141066
NA21089	117176	106826	60134	3371299	154741	139192
NA21090	117751	108623	61238	3421104	157270	141080
NA21091	116563	107672	60389	3380994	155692	140129
NA21092	118094	108227	61236	3402226	156076	140005
NA21093	117413	108206	60295	3394076	155992	140324
NA21094	113694	106989	60122	3379135	155100	139660
NA21095	118636	108849	60970	3370601	155897	140062
NA21097	116486	107473	60231	3366527	154640	139239
NA21098	117053	107583	60476	3382944	155383	139928
NA21099	114101	106996	60286	3372832	154920	139626
NA21100	117960	108204	60894	3386836	155423	140071
NA21101	117063	108351	60752	3400002	156060	140640
NA21102	116584	107784	60314	3388254	155908	140375
NA21103	116713	107831	60464	3390983	155700	139898
NA21104	116736	106816	60329	3385565	155073	139754
NA21105	116411	106554	60518	3410660	156745	141069
NA21106	118206	107109	60687	3402624	156725	140838
NA21107	116561	106906	60567	3401823	156462	140464
NA21108	114606	106228	60211	3368252	154590	139233
NA21109	114537	105704	60243	3385421	155290	139696
NA21110	115658	106562	60772	3405774	156455	140721
NA21111	117230	106848	60420	3407508	156671	140508
NA21112	117406	107334	60866	3417540	157159	141051
NA21113	116566	106921	60296	3396573	155810	140361
NA21114	116447	108788	60772	3412538	156726	140787
NA21115	113057	105439	59899	3379271	154798	139585
NA21116	117618	107674	60953	3406634	156391	140610
NA21117	116847	106808	60518	3399297	156442	140559
NA21118	117698	107040	60599	3409553	157165	140896
NA21119	116986	106338	60187	3393173	155631	140352
NA21120	119196	107952	60557	3406488	156056	140391
NA21121	101688	99416	57770	3208585	144638	133690
NA21122	112190	105323	59934	3368879	154510	139682
NA21123	113077	105603	60187	3391001	155455	140111
NA21124	121209	110182	61249	3390410	156461	140356
NA21125	125583	109836	61704	3415496	157868	141137
NA21126	122747	110912	61713	3410833	157716	140822
NA21127	120721	109263	60824	3417759	157386	141392
NA21128	115700	106180	60363	3388382	155341	140114
NA21129	122145	111010	61202	3402325	157135	140694
NA21130	116896	106523	60240	3385074	155599	139706
NA21133	118559	107707	60691	3405332	156707	141092
NA21135	117735	107551	60568	3398881	156144	140648
NA21137	124030	109109	61707	3417460	157458	141197
NA21141	118998	107970	60745	3401429	156207	140775
NA21142	118554	107612	60429	3390255	155920	140017
NA21143	120312	108604	61015	3412712	156939	140858
NA21144	118026	107554	60766	3387914	156069	140017
