TR_SNP	TR_DEL	TR_INS	NON_TR_SNP	NON_TR_DEL	NON_TR_INS
HG00304	110162	109069	62698	3324071	149010	134736
HG00306	113814	108480	62388	3313089	148793	134605
HG00308	112163	109235	62167	3300610	147780	133556
HG00309	115059	108884	63017	3326301	149849	134537
HG00310	114335	108924	62580	3307975	148394	133658
HG00311	112962	108338	62281	3288040	147918	133423
HG00312	112785	107525	62507	3302093	148598	133489
HG00313	111839	108886	62662	3296780	148986	133329
HG00315	112310	108450	63004	3309559	148632	133955
HG00318	110989	109221	62564	3288371	148305	132971
HG00319	112140	109483	63056	3318190	150793	134372
HG00320	112157	109090	62708	3292204	148207	133627
HG00321	114038	112395	62781	3307341	151098	134029
HG00323	112544	109075	62856	3315208	150166	133995
HG00324	114132	108654	62274	3289748	147610	132824
HG00325	114796	109382	62762	3299201	148677	133708
HG00326	113992	108442	62893	3320819	149630	134433
HG00327	112423	108988	62816	3309813	149444	133965
HG00328	113504	108901	62707	3294782	147673	133308
HG00329	115857	109905	62980	3319287	149230	134321
HG00330	114669	109925	62916	3328533	149708	134897
HG00331	115312	109357	62608	3317629	149018	134375
HG00332	114601	109272	63181	3330392	149889	134635
HG00334	115741	109767	63176	3333723	149637	134855
HG00335	118722	110317	63469	3341145	150603	135032
HG00336	113143	109368	62650	3321062	149092	134186
HG00337	118621	110357	63453	3333677	150544	134775
HG00338	112100	108033	62574	3298521	148839	133750
HG00339	112537	108881	62671	3308107	149293	133850
HG00341	115602	109806	62958	3335729	150024	134575
HG00342	116198	110070	63019	3310263	149353	134066
HG00343	111846	108775	62781	3316095	149483	133991
HG00344	111647	109090	62572	3296498	149658	133718
HG00345	118045	110271	62930	3328563	150372	135036
HG00346	117280	109404	63004	3301898	148775	133774
HG00349	113936	108558	62965	3320871	148869	134313
HG00350	113017	107600	62503	3317617	149062	134322
HG00351	111195	106786	62475	3318639	148719	133950
HG00353	118476	110418	63220	3324111	149566	134701
HG00355	112330	108017	62742	3322019	149734	134570
HG00356	115454	109241	62870	3327989	149840	134408
HG00357	112297	107316	62387	3297524	148188	133424
HG00358	114231	108401	62688	3327757	149559	134413
HG00359	117152	109768	63306	3325010	150003	134734
HG00360	118650	109973	63306	3335041	150265	134667
HG00361	115422	109764	62498	3310230	148825	133974
HG00362	118065	109365	63127	3312838	149494	133899
HG00364	118761	109817	63237	3324891	150155	134369
HG00365	118488	109863	63173	3340652	150815	135677
HG00366	113952	109687	62537	3309626	149596	134134
HG00367	112982	108972	62394	3323601	149688	134467
HG00368	118065	113167	63150	3330723	150320	135073
HG00369	116182	109414	62593	3318204	149089	134413
HG00371	118209	109588	63251	3323351	149959	134580
HG00372	113075	108292	62327	3296806	148607	133164
HG00373	111630	107972	62273	3301254	148551	133539
HG00375	113897	108502	62790	3308644	148669	133722
HG00376	115957	109343	63013	3328352	149664	134541
HG00377	89562	95901	56618	2929621	125828	119626
HG00378	116439	109531	63169	3319977	149558	134300
HG00379	116823	108780	62662	3301979	149055	133676
HG00380	112107	109549	62331	3318030	148494	134127
HG00381	115901	109401	62769	3305536	148831	133562
HG00382	114878	109134	62857	3308248	148864	133932
HG00383	114798	109262	63006	3318503	148944	133970
HG00384	118285	109553	63013	3313955	149094	134049
HG00403	111863	108171	62806	3308375	150540	134501
HG00404	115085	109171	62945	3323142	150281	134855
HG00406	114010	109288	62962	3315836	149313	134239
HG00407	114617	109181	63470	3333595	149567	134869
HG00409	119607	113127	64077	3338838	150310	135344
HG00410	121141	113624	64445	3354077	151277	135714
HG00419	117713	111314	63786	3341770	150755	135369
HG00421	116249	109884	63336	3311631	149468	134292
HG00422	117970	110612	63558	3333907	150637	134687
HG00428	117601	109942	63643	3318204	149774	134275
HG00436	112443	110340	63099	3306047	151585	133793
HG00437	118364	110615	63684	3340470	150950	135177
HG00442	118689	110834	63583	3328448	149947	134570
HG00443	117895	110606	63375	3334041	150357	135301
HG00445	116969	110124	63859	3342230	150718	135907
HG00446	117001	110272	63704	3331904	150328	134858
HG00448	117021	109900	63369	3333441	149555	135118
HG00449	115558	110630	63519	3322952	149806	134752
HG00451	115612	109613	63437	3321288	149927	134698
HG00452	115698	110043	63757	3344518	150231	135163
HG00457	115779	110192	63788	3347896	151165	135831
HG00458	116217	109971	63356	3331502	150051	134775
HG00463	113588	109384	62896	3315500	148464	134339
HG00464	114458	109286	63058	3323905	149034	135063
HG00472	116610	110175	63739	3331577	150060	134991
HG00473	116986	110807	63953	3350995	150663	135695
HG00475	116705	109867	63731	3330488	149646	134854
HG00476	115446	109842	63398	3328010	149022	134410
HG00478	115154	109374	63522	3316792	149482	133757
HG00479	116165	110152	63848	3331766	150061	134527
HG00500	112575	107918	62989	3312065	148942	134541
HG00513	112717	109986	62898	3304917	149982	134063
HG00524	112400	109877	63350	3321993	149848	134424
HG00525	115885	109651	63501	3315227	148745	134242
HG00530	103886	104395	61903	3203320	142427	131060
HG00531	104666	105143	62086	3220916	143629	131228
HG00533	114076	108810	63109	3305419	148737	134170
HG00534	115059	109373	63289	3336698	149386	135035
HG00536	119041	111297	63896	3340862	151000	135106
HG00537	113895	109878	63267	3311318	149955	134337
HG00542	103367	104052	61638	3195045	141940	130363
HG00543	117745	110499	63744	3336498	150048	135291
HG00551	119655	112349	63989	3437821	154620	138684
HG00553	120524	112907	64017	3521831	158911	141574
HG00554	119118	110924	63479	3429919	154346	138492
HG00556	115019	109523	63228	3314232	148989	134053
HG00557	116012	109896	63566	3336229	149647	134859
HG00559	114252	108345	62777	3312166	148765	134314
HG00560	113016	107814	62635	3303498	147917	134176
HG00565	113570	108278	62917	3315044	149005	134343
HG00566	113308	107206	62585	3300523	148229	133925
HG00580	113766	109053	63252	3318371	148989	134366
HG00581	114951	109133	63370	3305954	148162	133431
HG00583	115177	110229	63307	3313272	148834	134080
HG00584	114969	109565	63314	3323015	148690	134498
HG00589	113241	108586	62978	3300687	148236	133686
HG00590	112844	108768	63177	3303935	148622	134163
HG00592	112855	106876	63276	3309012	148695	134366
HG00593	119474	113030	63586	3333253	150665	135125
HG00595	115978	110519	62883	3321848	149449	134727
HG00596	111523	107250	62533	3293265	148164	133580
HG00598	119570	113278	64226	3339843	151184	135303
HG00599	119690	113331	64459	3340230	150921	135415
HG00607	112217	108203	63104	3304195	147915	134082
HG00608	112712	108766	63195	3313165	148425	134454
HG00610	113577	108136	62774	3311191	149079	134666
HG00611	112214	108027	62916	3301885	148319	134234
HG00613	114425	109270	63235	3311900	148571	134333
HG00614	113132	108698	63392	3325371	149116	134088
HG00619	113241	108441	62809	3298548	148179	133989
HG00620	112981	108650	63177	3312489	148351	134655
HG00622	120585	113787	64398	3353345	151042	135513
HG00623	121489	113690	64533	3342210	151524	135414
HG00625	110880	107633	62768	3297076	148927	133950
HG00626	113379	108510	62775	3307041	149059	134091
HG00628	112833	108284	62939	3311013	149932	134400
HG00629	114044	107957	62629	3306976	148929	134003
HG00631	120088	113449	64202	3340270	151006	135090
HG00632	118148	112446	63867	3322056	149738	135116
HG00634	112418	108201	62893	3302542	147708	133908
HG00637	120210	112133	63866	3492419	157203	140781
HG00638	121840	112545	64253	3532086	158749	141472
HG00640	119297	110912	63222	3404511	152603	137080
HG00641	116650	111443	64300	3419274	153853	138184
HG00650	113343	108926	63034	3309556	148464	134257
HG00651	112637	108916	63106	3311138	148548	134238
HG00653	114773	109064	62960	3313720	148574	133799
HG00654	113899	108999	63305	3309804	148248	134394
HG00656	115018	109504	63363	3324480	148952	134915
HG00657	115009	110399	63655	3322237	148987	134779
HG00662	114336	109501	63154	3307927	148432	133750
HG00663	114774	109810	63409	3316880	148981	134564
HG00671	115978	110495	63463	3325671	149635	134414
HG00672	114182	110227	63220	3312976	148568	134555
HG00674	119870	113284	64277	3341928	150825	135618
HG00675	120218	113596	64612	3355413	151778	136237
HG00683	113826	109301	62988	3312742	148831	133950
HG00684	114401	108780	63266	3320390	149148	134925
HG00689	113904	108805	62948	3318604	148991	134522
HG00690	113520	108486	63020	3305191	148163	134065
HG00692	114995	109440	63218	3319711	148758	134553
HG00693	114391	109626	63085	3313995	148689	134220
HG00698	113495	109032	63053	3317281	148797	134153
HG00699	113991	108968	63088	3312745	148425	134416
HG00701	113191	109231	63494	3321561	149064	134353
HG00704	114404	109639	63151	3307565	148373	134054
HG00705	114429	109331	63102	3305808	148419	133891
HG00707	113994	109187	62754	3292436	147654	133663
HG00708	115197	109264	63265	3323504	149254	134805
HG00717	112910	110220	62986	3314291	148962	133945
HG00728	119233	113295	64077	3333368	150991	135594
HG00729	120329	113725	64234	3342050	151029	135283
HG00731	126073	114689	65253	3404365	153942	137665
HG00732	127613	115208	65801	3421915	154992	138487
HG00734	122801	114088	65228	3457999	156526	139711
