TR_SNP	TR_DEL	TR_INS	NON_TR_SNP	NON_TR_DEL	NON_TR_INS
HG01137	118603	106971	59841	3380560	155595	139907
HG01139	122295	112657	61263	3540470	162985	145536
HG01140	122298	111375	60540	3415625	157486	141243
HG01142	123114	110398	62498	3567856	164641	146998
HG01148	113433	106564	59553	3342640	153413	138694
HG01149	118650	109829	60289	3450653	158201	142018
HG01161	118527	109605	60988	3523379	161608	144941
HG01162	115862	108886	60958	3463234	159221	143044
HG01164	115741	108687	60145	3436470	158006	141678
HG01167	130383	114353	63535	3590613	166537	147874
HG01168	115193	107686	60724	3369878	157388	139418
HG01170	119077	108426	60895	3462252	160100	143463
HG01171	120605	109011	61266	3530669	162047	145747
HG01173	117486	107678	60514	3405205	156707	140926
HG01174	116740	107490	60482	3387727	155714	140387
HG01176	126174	113722	62591	3474776	161644	143819
HG01177	120134	109579	60591	3419830	157233	141161
HG01182	119609	112796	61468	3491257	174136	143790
HG01183	120417	112963	61318	3479827	167306	143727
HG01187	123615	114793	62014	3528587	172895	145633
HG01188	126442	114018	62755	3593133	169003	147979
HG01190	123460	112125	62118	3531593	162851	145514
HG01191	120135	110156	61681	3446702	159154	142573
HG01197	118738	109633	61231	3415837	157689	141443
HG01198	121059	109979	61240	3495005	161322	144423
HG01200	112262	107148	59781	3372758	154947	139366
HG01204	119511	109741	61623	3464499	159605	143094
HG01205	125375	112449	62363	3505903	161722	144643
HG01241	141273	120872	64836	3968778	185454	161820
HG01242	129711	115080	63160	3822045	176438	156184
HG01247	123791	111627	61796	3555701	163554	146012
HG01248	121517	110824	61332	3491226	161311	143942
HG01250	118494	109427	60799	3438340	159144	141926
HG01251	116721	111898	60317	3379147	161509	139738
HG01253	116611	107798	60643	3417396	157393	141083
HG01254	120637	110308	61440	3532899	163787	145439
HG01256	119084	107425	60201	3377084	155551	139314
HG01257	120393	107709	60802	3385004	156113	139698
HG01259	119842	107272	60340	3370610	155114	139072
HG01260	123990	110063	61601	3516118	162392	145098
HG01269	115837	107063	60362	3418104	157237	141192
HG01271	116007	106937	61042	3453274	158783	142365
HG01272	120392	108320	61718	3557093	163788	146738
HG01275	113187	104005	58682	3282221	150916	136244
HG01277	114587	105270	59717	3347845	153771	138598
HG01280	117423	107850	60751	3397521	155951	140768
HG01281	116191	107137	60117	3395840	156093	140159
HG01284	118887	108416	60927	3427606	157954	141472
HG01286	118094	109520	60899	3570219	163821	146715
HG01302	118021	110437	60199	3475158	160084	142969
HG01303	118405	110013	60002	3459865	159381	142583
HG01305	116714	109209	61209	3520909	161820	144545
HG01308	119837	110779	61674	3591271	165907	147701
HG01311	116573	109487	60078	3435077	157525	141611
HG01312	117238	109908	60529	3473107	159984	143421
HG01323	117328	110441	60212	3470801	159782	143587
HG01325	117767	109794	60114	3474002	159691	143198
HG01326	117418	109866	60477	3477051	160681	143560
HG01334	114282	105545	59718	3310512	152143	137150
HG01341	118296	109191	60983	3376260	154702	139264
HG01342	127320	113522	63055	3721373	171763	152801
HG01344	114416	105985	60012	3371590	154478	139158
HG01345	117402	106800	60646	3431870	157728	141865
HG01348	116651	106856	60423	3377391	155527	139897
HG01350	117408	107691	60599	3403520	156375	140485
HG01351	116190	106725	60051	3352637	153725	138852
HG01353	116109	107107	60253	3385660	155501	139628
HG01354	114835	105766	59835	3340853	153787	138333
HG01356	116608	108304	60641	3428754	157830	141132
HG01357	114937	106999	59893	3354499	154436	138347
HG01359	117190	108941	61409	3402034	157012	141090
HG01360	117944	108317	60942	3428215	158206	141745
HG01362	121749	112427	61143	3514934	162030	144701
HG01363	119953	111092	60968	3541491	163807	145896
HG01365	119754	108890	61275	3499986	160770	143730
HG01366	118843	108325	61158	3451597	158755	142432
HG01369	119613	108508	61084	3461585	159854	143274
HG01372	118650	108530	61258	3406109	156979	141115
HG01374	114880	106479	60147	3364612	154209	139575
HG01375	120599	109171	61351	3493986	159982	144565
HG01377	119026	109468	61223	3469326	159134	143244
HG01378	115134	107636	60007	3359105	154664	139053
HG01383	115541	107326	60146	3371676	155080	139188
HG01384	116862	108391	60364	3411723	156610	140773
HG01389	114759	106335	59640	3333632	152808	138082
HG01390	123651	110352	61656	3609273	165670	148410
HG01392	122452	110116	61573	3519559	161862	144663
HG01393	120756	109887	61859	3567631	164150	146769
HG01395	117825	107214	60449	3411994	157231	140742
HG01396	121144	109345	61308	3542507	162517	146193
HG01398	115104	108062	59952	3454599	158336	142057
HG01402	121821	109300	61363	3539249	162944	145610
HG01403	118935	108098	61091	3520585	161300	144790
HG01405	124953	110377	60800	3473578	160852	143526
HG01412	123650	110266	60938	3466059	159728	143062
HG01413	120167	108032	61020	3486386	160164	143910
HG01414	120361	108876	61222	3501870	161082	144076
HG01431	119709	111293	60622	3491651	160965	143617
HG01432	115720	108749	59370	3358000	154421	138462
HG01435	118283	107925	61099	3415753	156874	140795
HG01437	114451	107868	60301	3353309	157822	138784
HG01438	115795	107506	60299	3314934	152367	137439
HG01440	122442	110178	61736	3544454	163448	146349
HG01441	116257	107798	60809	3379254	154975	139634
HG01443	114563	108862	59999	3384963	156188	140025
HG01444	114776	108540	60127	3449969	158767	142537
HG01447	117738	108522	60897	3445853	158594	142342
HG01455	115743	108335	60482	3390430	156912	140121
HG01456	117519	108750	60962	3426414	157512	141819
HG01459	118020	107892	60988	3416769	157838	141008
HG01461	121854	111013	62178	3525889	162966	146018
HG01462	125160	112008	62577	3629435	167046	149228
HG01464	126799	112407	62821	3574361	164505	147167
HG01465	116344	107693	60530	3354359	154510	139068
HG01468	109742	105465	59145	3294617	151522	136397
HG01471	111792	106425	60149	3372834	155150	139620
HG01474	110977	106364	59708	3353640	154034	138595
HG01479	112574	106467	59882	3373180	154745	139515
HG01485	130429	113392	62253	3717239	171199	152446
HG01486	125009	110527	60632	3393303	157415	140178
HG01488	121511	110021	61885	3506963	161477	144586
HG01489	116353	108123	60856	3370733	155560	139966
HG01491	113844	107484	59835	3292189	153216	136720
HG01492	116832	108192	60785	3378298	155114	139820
