TR_SNP	TR_DEL	TR_INS	NON_TR_SNP	NON_TR_DEL	NON_TR_INS
HG00304	110162	105730	59482	3324071	152349	137952
HG00306	113814	105017	59186	3313089	152256	137807
HG00308	112163	105865	58892	3300610	151150	136831
HG00309	115059	105497	59767	3326301	153236	137787
HG00310	114335	105565	59379	3307975	151753	136859
HG00311	112962	104959	59034	3288040	151297	136670
HG00312	112785	104147	59251	3302093	151976	136745
HG00313	111839	105519	59410	3296780	152353	136581
HG00315	112310	105076	59783	3309559	152006	137176
HG00318	110989	105824	59372	3288371	151702	136163
HG00319	112140	106082	59851	3318190	154194	137577
HG00320	112157	105657	59496	3292204	151640	136839
HG00321	114038	108984	59538	3307341	154509	137272
HG00323	112544	105712	59623	3315208	153529	137228
HG00324	114132	105257	59068	3289748	151007	136030
HG00325	114796	105975	59565	3299201	152084	136905
HG00326	113992	105113	59639	3320819	152959	137687
HG00327	112423	105630	59581	3309813	152802	137200
HG00328	113504	105510	59425	3294782	151064	136590
HG00329	115857	106523	59727	3319287	152612	137574
HG00330	114669	106492	59660	3328533	153141	138153
HG00331	115312	105957	59317	3317629	152418	137666
HG00332	114601	105906	59870	3330392	153255	137946
HG00334	115741	106304	59905	3333723	153100	138126
HG00335	118722	106919	60212	3341145	154001	138289
HG00336	113143	105966	59469	3321062	152494	137367
HG00337	118621	106912	60176	3333677	153989	138052
HG00338	112100	104665	59353	3298521	152207	136971
HG00339	112537	105423	59374	3308107	152751	137147
HG00341	115602	106344	59702	3335729	153486	137831
HG00342	116198	106672	59754	3310263	152751	137331
HG00343	111846	105374	59576	3316095	152884	137196
HG00344	111647	105720	59350	3296498	153028	136940
HG00345	118045	106840	59674	3328563	153803	138292
HG00346	117280	105995	59763	3301898	152184	137015
HG00349	113936	105168	59640	3320871	152259	137638
HG00350	113017	104205	59291	3317617	152457	137534
HG00351	111195	103385	59312	3318639	152120	137113
HG00353	118476	107003	59961	3324111	152981	137960
HG00355	112330	104559	59541	3322019	153192	137771
HG00356	115454	105794	59626	3327989	153287	137652
HG00357	112297	103996	59170	3297524	151508	136641
HG00358	114231	104970	59412	3327757	152990	137689
HG00359	117152	106302	60040	3325010	153469	138000
HG00360	118650	106567	60038	3335041	153671	137935
HG00361	115422	106356	59277	3310230	152233	137195
HG00362	118065	105969	59799	3312838	152890	137227
HG00364	118761	106367	59961	3324891	153605	137645
HG00365	118488	106404	59851	3340652	154274	138999
HG00366	113952	106302	59325	3309626	152981	137346
HG00367	112982	105560	59134	3323601	153100	137727
HG00368	118065	109751	59853	3330723	153736	138370
HG00369	116182	105959	59297	3318204	152544	137709
HG00371	118209	106165	59964	3323351	153382	137867
HG00372	113075	104879	59164	3296806	152020	136327
HG00373	111630	104585	59077	3301254	151938	136735
HG00375	113897	105154	59558	3308644	152017	136954
HG00376	115957	105965	59770	3328352	153042	137784
HG00377	89562	92899	53745	2929621	128830	122499
HG00378	116439	106131	59908	3319977	152958	137561
HG00379	116823	105377	59433	3301979	152458	136905
HG00380	112107	106173	59073	3318030	151870	137385
HG00381	115901	106037	59508	3305536	152195	136823
HG00382	114878	105718	59617	3308248	152280	137172
HG00383	114798	105887	59780	3318503	152319	137196
HG00384	118285	106130	59760	3313955	152517	137302
HG00403	111863	104669	59557	3308375	154042	137750
HG00404	115085	105736	59754	3323142	153716	138046
HG00406	114010	105893	59778	3315836	152708	137423
HG00407	114617	105783	60208	3333595	152965	138131
HG00409	119607	109631	60833	3338838	153806	138588
HG00410	121141	110163	61108	3354077	154738	139051
HG00419	117713	107800	60495	3341770	154269	138660
HG00421	116249	106450	60075	3311631	152902	137553
HG00422	117970	107186	60278	3333907	154063	137967
HG00428	117601	106567	60394	3318204	153149	137524
HG00436	112443	106934	59870	3306047	154991	137022
HG00437	118364	107116	60426	3340470	154449	138435
HG00442	118689	107371	60343	3328448	153410	137810
HG00443	117895	107166	60122	3334041	153797	138554
HG00445	116969	106725	60621	3342230	154117	139145
HG00446	117001	106827	60410	3331904	153773	138152
HG00448	117021	106434	60105	3333441	153021	138382
HG00449	115558	107150	60179	3322952	153286	138092
HG00451	115612	106161	60175	3321288	153379	137960
HG00452	115698	106595	60508	3344518	153679	138412
HG00457	115779	106736	60460	3347896	154621	139159
HG00458	116217	106538	60082	3331502	153484	138049
HG00463	113588	105965	59666	3315500	151883	137569
HG00464	114458	105856	59836	3323905	152464	138285
HG00472	116610	106729	60461	3331577	153506	138269
HG00473	116986	107302	60709	3350995	154168	138939
HG00475	116705	106433	60503	3330488	153080	138082
HG00476	115446	106448	60172	3328010	152416	137636
HG00478	115154	105993	60337	3316792	152863	136942
HG00479	116165	106738	60563	3331766	153475	137812
HG00500	112575	104496	59759	3312065	152364	137771
HG00513	112717	106565	59700	3304917	153403	137261
HG00524	112400	106450	60087	3321993	153275	137687
HG00525	115885	106274	60260	3315227	152122	137483
HG00530	103886	101126	58709	3203320	145696	134254
HG00531	104666	101808	58911	3220916	146964	134403
HG00533	114076	105439	59827	3305419	152108	137452
HG00534	115059	105977	60075	3336698	152782	138249
HG00536	119041	107856	60647	3340862	154441	138355
HG00537	113895	106509	60020	3311318	153324	137584
HG00542	103367	100771	58484	3195045	145221	133517
HG00543	117745	107090	60430	3336498	153457	138605
HG00551	119655	108802	60628	3437821	158167	142045
HG00553	120524	109319	60593	3521831	162499	144998
HG00554	119118	107398	60139	3429919	157872	141832
HG00556	115019	106138	59975	3314232	152374	137306
HG00557	116012	106494	60314	3336229	153049	138111
HG00559	114252	104927	59553	3312166	152183	137538
HG00560	113016	104367	59402	3303498	151364	137409
HG00565	113570	104869	59679	3315044	152414	137581
HG00566	113308	103855	59303	3300523	151580	137207
HG00580	113766	105650	60005	3318371	152392	137613
HG00581	114951	105802	60138	3305954	151493	136663
HG00583	115177	106811	60046	3313272	152252	137341
HG00584	114969	106165	60107	3323015	152090	137705
HG00589	113241	105230	59763	3300687	151592	136901
HG00590	112844	105398	59956	3303935	151992	137384
HG00592	112855	103490	60048	3309012	152081	137594
