TR_SNP	TR_DEL	TR_INS	NON_TR_SNP	NON_TR_DEL	NON_TR_INS
NA19399	139315	115810	62612	4098916	188423	165968
NA19401	138767	116062	62708	4072933	186775	164634
NA19403	135915	114962	62174	4034098	185385	163449
NA19404	137614	115444	62651	4068321	187228	164981
NA19428	138745	116069	62643	4068447	187451	165064
NA19429	135642	115253	62250	4063699	186864	164910
NA19430	135673	115017	62473	4084904	188715	166136
NA19431	133679	114145	62146	4060605	186657	165440
NA19434	136272	115692	62567	4056864	187313	164421
NA19435	138041	115516	62564	4060976	188133	164582
NA19436	132935	114012	61815	4045392	187737	164420
NA19437	139921	117382	62808	4054901	186630	164911
NA19438	134769	114989	62091	4057186	187413	164691
NA19439	140086	118393	62883	4069492	188115	165379
NA19440	140235	117410	62840	4084217	189685	165793
NA19443	139545	118414	62730	4091466	189576	166054
NA19445	138718	118067	62541	4067882	190145	165167
NA19446	140581	117048	62980	4069331	187711	165343
NA19448	134559	113319	62456	4044943	186169	164136
NA19449	135104	116762	62140	4064627	188574	165073
NA19451	134738	114802	62154	4056824	187178	165046
NA19452	135937	115959	62688	4067993	187473	165458
NA19454	141053	117170	63742	4080215	188095	165560
NA19455	135984	116109	62916	4074458	187828	165649
NA19456	134846	113658	62031	4050291	187346	164460
NA19457	138115	115462	62478	4054677	187780	164823
NA19461	134815	115191	62167	4056271	187346	165032
NA19462	137905	117508	62518	4079371	189158	165687
NA19463	142012	119610	63209	4074016	188928	165104
NA19466	135613	115614	62199	4055101	187313	165300
NA19467	134117	114226	62304	4048037	186422	164652
NA19468	133154	113412	62248	4045381	185668	164359
NA19471	138668	115512	62336	4072274	188922	164720
NA19472	141050	117427	62705	4080202	189145	165254
NA19473	139288	117944	62356	4072617	192861	164926
NA19474	138292	122927	62433	4071898	213910	164464
NA19475	140047	115552	63356	4093571	188266	165606
NA19625	135837	115794	63825	3959458	183241	161539
NA19648	114190	106772	59594	3319557	153030	137538
NA19649	117342	108068	60335	3377237	155304	140091
