TR_SNP	TR_DEL	TR_INS	NON_TR_SNP	NON_TR_DEL	NON_TR_INS
HG03668	117455	107917	61190	3423494	156806	141148
HG03672	114485	108900	59962	3373734	154241	139737
HG03673	121076	110648	61540	3421235	157213	141657
HG03679	121408	110493	61113	3406824	157571	140721
HG03680	120318	110772	61301	3416583	157873	141147
HG03681	120346	110416	61377	3398676	156920	140440
HG03684	122632	111437	61920	3425951	158142	141743
HG03685	119719	110625	61265	3417116	157406	141591
HG03686	114390	108727	60143	3401458	156239	140268
HG03687	116116	109550	59783	3375040	155171	139424
HG03689	115759	109367	59768	3383128	155751	140167
HG03690	111651	106637	58799	3310964	151913	137354
HG03691	113788	108863	60183	3393769	156016	140090
HG03692	120741	110631	61298	3394400	157300	140505
HG03693	120533	110777	61692	3427110	158193	141490
HG03694	115779	109875	60129	3418458	156895	141589
HG03695	114542	108582	59685	3373452	155306	139164
HG03696	111394	105819	57569	3253604	148899	134660
HG03697	117339	110523	60214	3417010	157126	141270
HG03698	114806	108870	60285	3406535	156494	140968
HG03702	118188	108391	61315	3422420	157263	141298
HG03703	117340	108777	61207	3409143	156770	140733
HG03705	112666	107732	60343	3402455	156100	140233
HG03706	112539	107489	60054	3399391	156104	140108
HG03708	116545	108619	61081	3400542	156980	140960
HG03709	118164	108176	61142	3419389	157496	141472
HG03711	114214	108621	59570	3368434	154677	139344
HG03713	121542	111013	61538	3424965	158159	141762
HG03714	119537	110254	61639	3427050	158045	141806
HG03716	120836	111066	61769	3426642	158565	142145
HG03717	119374	109912	61015	3402705	156843	141109
HG03718	113237	108195	59581	3381781	155385	140065
HG03720	115302	109376	59981	3399875	156177	140314
HG03722	120445	110194	60864	3360919	155284	139186
HG03727	123750	111853	61996	3415392	157590	141642
HG03729	119804	110431	61442	3421538	157669	141725
HG03730	118923	109833	61254	3413936	157137	141117
HG03731	119950	110560	61443	3414048	157386	141280
HG03733	113588	108001	59320	3348822	153746	138639
HG03736	116020	109427	60210	3407113	156449	140777
HG03738	114657	108872	59618	3354689	154153	138489
HG03740	118152	108402	60339	3335230	154085	138297
HG03741	120991	110020	61267	3372019	155837	139888
HG03742	117613	110661	60271	3410398	157150	140825
HG03743	119971	109970	61362	3396117	156695	140742
HG03744	116717	110448	60545	3425582	157079	141629
HG03745	114355	108274	60004	3380392	155254	139839
HG03746	122056	111163	61814	3419668	158100	141627
HG03750	117476	109225	61048	3392615	156602	140574
HG03752	114742	108509	59478	3349965	153966	138506
HG03753	116770	109935	60325	3424855	157989	141678
HG03754	122841	111678	61751	3421084	158678	141627
HG03755	118884	111194	60537	3418425	157689	141444
HG03756	119587	109545	61241	3374215	155949	139718
HG03757	122161	111797	61879	3446652	158820	142641
HG03760	117149	110136	60357	3417882	157449	141338
HG03762	112731	107852	60498	3407364	156791	140643
HG03765	112264	107894	60561	3399029	156063	140579
HG03767	112182	107246	60029	3366052	154617	139318
HG03770	121013	110320	61410	3404478	157559	141034
HG03771	121473	111060	61624	3435669	158066	142037
HG03772	118529	109688	61087	3383912	155966	140029
